City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,gornopravdinsk,RU,60.05,69.9,3.65,88,100,11.39,overcast clouds
346,palana,RU,59.1167,159.9667,12.22,74,91,15.68,overcast clouds
347,bethel,US,41.3712,-73.414,39.88,74,20,4.61,few clouds
348,adrar,MR,20.5022,-10.0711,77.11,14,0,14.09,clear sky
349,flinders,AU,-34.5833,150.8552,61.18,88,93,4.0,overcast clouds
350,tonj,SS,7.2737,28.6822,87.26,22,100,4.25,overcast clouds
351,stephenville,US,32.2207,-98.2023,20.55,79,100,27.63,overcast clouds
352,cidreira,BR,-30.1811,-50.2056,74.07,57,5,15.59,clear sky
353,chifeng,CN,42.2683,118.9636,4.3,36,9,15.1,clear sky
354,tura,IN,25.5198,90.2201,58.71,66,16,2.04,few clouds
355,luganville,VU,-15.5333,167.1667,79.88,82,98,5.97,overcast clouds
356,sheregesh,RU,52.9209,87.9869,2.7,98,100,2.48,light snow
357,prieska,ZA,-29.6641,22.7474,96.22,16,56,7.18,broken clouds
