City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
63,muros,ES,61.68,overcast clouds,42.7762,-9.0603,
64,mataura,NZ,52.83,overcast clouds,-46.1927,168.8643,
65,elwood,AU,63.93,scattered clouds,-37.8817,144.983,
66,kimbe,PG,75.54,broken clouds,-5.5502,150.1429,
67,la cruz,MX,74.25,clear sky,23.9167,-106.9,
68,andilamena,MG,69.03,moderate rain,-17.0167,48.5833,
69,biograd na moru,HR,55.76,overcast clouds,43.9433,15.4519,
70,muli,MV,80.26,overcast clouds,2.9167,73.5667,
71,ozernovskiy,RU,32.43,snow,51.5,156.5167,
72,alice springs,AU,69.35,moderate rain,-23.7,133.8833,
73,quatre cocos,MU,78.1,overcast clouds,-20.2078,57.7625,
74,ribeira grande,PT,63.0,few clouds,38.5167,-28.7,
75,butaritari,KI,81.32,overcast clouds,3.0707,172.7902,
76,bayji,IQ,56.41,overcast clouds,34.9311,43.487,
77,raudeberg,NO,38.07,light snow,61.9875,5.1352,
78,qui nhon,VN,70.11,overcast clouds,13.7667,109.2333,
80,arcata,US,50.61,mist,40.8665,-124.0828,
82,guerrero negro,MX,64.36,clear sky,27.9769,-114.0611,
83,puerto ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,
84,klaksvik,FO,34.72,light snow,62.2266,-6.589,
85,tuatapere,NZ,51.13,broken clouds,-46.1333,167.6833,
87,bougouni,ML,87.93,overcast clouds,11.417,-7.479,
88,arraial do cabo,BR,78.76,broken clouds,-22.9661,-42.0278,
89,coolum beach,AU,68.11,overcast clouds,-26.5333,153.1,
93,wynyard,AU,52.99,clear sky,-41.0,145.7167,
94,vaini,TO,77.16,few clouds,-21.2,-175.2,
96,morant bay,JM,88.72,clear sky,17.8815,-76.4093,
97,kumluca,TR,57.16,clear sky,36.3703,30.2869,
98,saldanha,ZA,66.34,scattered clouds,-33.0117,17.9442,
101,fontenay-le-comte,FR,57.65,overcast clouds,46.5833,-1.0,
102,chuy,UY,78.76,few clouds,-33.6971,-53.4616,
104,dayong,CN,47.52,clear sky,25.0209,118.2898,
105,nishihara,JP,58.28,overcast clouds,26.1842,127.7558,
106,roald,NO,39.76,broken clouds,62.5833,6.1333,
107,kodiak,US,36.91,moderate rain,57.79,-152.4072,
108,lebu,CL,62.42,broken clouds,-37.6167,-73.65,
109,agadez,NE,61.9,clear sky,19.75,10.25,
110,mulki,IN,78.08,clear sky,13.1,74.8,
111,kaitangata,NZ,49.05,scattered clouds,-46.2817,169.8464,
112,coihaique,CL,57.81,light rain,-45.5752,-72.0662,
115,ahmadpur east,PK,60.94,clear sky,29.1431,71.2598,
116,ponnani,IN,76.32,overcast clouds,10.767,75.9252,
117,kalabo,ZM,71.94,light rain,-14.97,22.6814,
118,piranhas,BR,87.08,few clouds,-16.4269,-51.8222,
122,nikolskoye,RU,35.8,overcast clouds,59.7035,30.7861,
123,kununurra,AU,78.78,light rain,-15.7667,128.7333,
124,saint-philippe,RE,80.19,overcast clouds,-21.3585,55.7679,
125,somerset,US,44.22,moderate rain,40.5668,-74.5496,
126,hithadhoo,MV,81.93,overcast clouds,-0.6,73.0833,
127,atuona,PF,78.71,light rain,-9.8,-139.0333,
128,laguna,US,44.58,mist,38.421,-121.4238,
129,el vigia,VE,83.3,scattered clouds,8.6219,-71.6506,
131,tsiroanomandidy,MG,68.85,overcast clouds,-18.7667,46.0333,
133,rockhampton,AU,67.89,broken clouds,-23.3833,150.5,
134,lata,PT,61.07,overcast clouds,40.1629,-8.3327,
135,bhongir,IN,65.5,scattered clouds,17.5108,78.8889,
136,yagoua,CM,77.0,overcast clouds,10.3411,15.2329,
138,yulara,AU,67.17,overcast clouds,-25.2406,130.9889,
139,port elizabeth,ZA,79.09,clear sky,-33.918,25.5701,
140,santa marta,CO,86.05,few clouds,11.2408,-74.199,
142,porto santo,PT,68.38,scattered clouds,33.072,-16.3415,
144,hobart,AU,56.05,scattered clouds,-42.8794,147.3294,
145,lompoc,US,64.78,broken clouds,34.6391,-120.4579,
147,kamalpur,IN,60.89,scattered clouds,24.2,91.8333,
148,esperance,AU,58.87,scattered clouds,-33.8667,121.9,
150,georgetown,MY,79.9,few clouds,5.4112,100.3354,
151,victoria,HK,65.25,clear sky,22.2855,114.1577,
152,pacific grove,US,52.09,clear sky,36.6177,-121.9166,
153,ribas do rio pardo,BR,89.33,few clouds,-20.4431,-53.7592,
154,nouadhibou,MR,82.38,clear sky,20.931,-17.0347,
