City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
537,sobolevo,RU,33.26,overcast clouds,54.4299,31.8996,
538,xinyu,CN,41.88,clear sky,27.8043,114.9334,
539,port blair,IN,82.44,mist,11.6667,92.75,
540,souillac,MU,77.38,few clouds,-20.5167,57.5167,
541,gelgaudiskis,LT,35.74,overcast clouds,55.0792,22.9758,
542,grand gaube,MU,77.4,overcast clouds,-20.0064,57.6608,
543,tabuk,PH,65.23,light rain,17.4189,121.4443,
544,ryotsu,JP,41.04,broken clouds,38.0833,138.4333,
545,acajutla,SV,84.72,clear sky,13.5928,-89.8275,
546,lasa,IT,45.48,few clouds,46.6166,10.7002,
547,kaili,ID,66.6,overcast clouds,-3.4626,120.2147,
548,stornoway,GB,44.56,broken clouds,58.2093,-6.3865,
549,saint-georges,GD,82.08,few clouds,12.0564,-61.7485,
550,choix,MX,73.11,clear sky,26.7092,-108.3219,
551,meadow lake,US,47.61,clear sky,34.8014,-106.5436,
553,koumac,NC,77.76,clear sky,-20.5667,164.2833,
555,noumea,NC,79.0,clear sky,-22.2763,166.4572,
556,dunedin,NZ,56.8,overcast clouds,-45.8742,170.5036,
557,laterza,IT,52.25,few clouds,40.6295,16.7997,
558,gat,IL,62.82,clear sky,31.61,34.7642,
559,najran,SA,68.65,clear sky,17.4924,44.1277,
561,ankang,CN,42.49,scattered clouds,32.68,109.0172,
562,ivot,RU,33.13,overcast clouds,53.6756,34.1872,
563,honiara,SB,78.33,overcast clouds,-9.4333,159.95,
564,bobrovytsya,UA,32.77,overcast clouds,50.75,31.3833,
565,lleida,ES,59.9,clear sky,41.6167,0.6167,
566,cockburn town,TC,82.36,scattered clouds,21.4612,-71.1419,
569,astrea,CO,89.85,clear sky,9.4983,-73.9759,
570,huangmei,CN,34.56,clear sky,30.1924,116.025,
571,innisfail,AU,75.85,overcast clouds,-17.5333,146.0333,
572,saint-francois,FR,51.24,light rain,46.4154,3.9054,
573,balkanabat,TM,40.66,clear sky,39.5108,54.3671,
574,broome,US,34.02,snow,42.2506,-75.833,
575,kinablangan,PH,78.1,broken clouds,7.6947,126.5503,
577,bom sucesso,BR,74.66,broken clouds,-21.0331,-44.7581,
578,tomatlan,MX,85.53,clear sky,19.9333,-105.25,
580,bara,NG,82.18,scattered clouds,10.3744,10.7288,
581,guacimo,CR,86.04,scattered clouds,10.2104,-83.6807,
582,anito,PH,77.0,broken clouds,12.4497,125.2886,
583,ancud,CL,58.35,broken clouds,-41.8697,-73.8203,
585,bambanglipuro,ID,77.4,light rain,-7.95,110.2833,
586,tete,MZ,73.49,light rain,-16.1564,33.5867,
587,xichang,CN,44.19,overcast clouds,27.8964,102.2634,
588,matara,LK,76.08,broken clouds,5.9485,80.5353,
589,morondava,MG,79.75,light rain,-20.2833,44.2833,
590,guarumal,PA,86.09,scattered clouds,8.35,-82.5333,
591,novikovo,RU,35.42,overcast clouds,51.1537,37.8879,
592,gorbatovka,RU,33.75,overcast clouds,56.2531,43.7475,
593,aras,ES,57.76,scattered clouds,42.5617,-2.356,
595,chokwe,MZ,71.96,clear sky,-24.5333,32.9833,
596,vila do maio,CV,81.39,clear sky,15.1333,-23.2167,
599,kungsbacka,SE,42.75,overcast clouds,57.4872,12.0761,
602,hirara,JP,60.08,scattered clouds,24.8,125.2833,
603,mount darwin,ZW,69.12,overcast clouds,-16.7725,31.5838,
604,san isidro,PE,71.19,broken clouds,-12.1167,-77.05,
